Filter Number	Filter Name	Manufacturer	Hex Color	775	776	777	778	779	780	781	782	783	784	785	786	787	788	789	790	791	792	793	794	795
RET785/6x		Chroma		0.0	0.0	0.001	0.002	0.018	0.105	7.016	90.248	97.896	97.908	98.013	97.172	92.379	4.709	0.186	0.011	0.002	0.0	0.0	0.0	0.0
