# Name	Leaf 1
# IsDefault	Default 1
Wavelength	Reflectance	
400	0.103	
401	0.104	
402	0.103	
403	0.1	
404	0.096	
405	0.093	
406	0.09	
407	0.088	
408	0.087	
409	0.085	
410	0.085	
411	0.085	
412	0.084	
413	0.084	
414	0.084	
415	0.084	
416	0.084	
417	0.084	
418	0.084	
419	0.084	
420	0.084	
421	0.084	
422	0.084	
423	0.084	
424	0.083	
425	0.083	
426	0.082	
427	0.081	
428	0.08	
429	0.079	
430	0.079	
431	0.078	
432	0.078	
433	0.078	
434	0.077	
435	0.077	
436	0.077	
437	0.077	
438	0.077	
439	0.077	
440	0.077	
441	0.077	
442	0.077	
443	0.077	
444	0.077	
445	0.077	
446	0.077	
447	0.077	
448	0.077	
449	0.077	
450	0.077	
451	0.077	
452	0.077	
453	0.078	
454	0.078	
455	0.078	
456	0.078	
457	0.078	
458	0.077	
459	0.077	
460	0.077	
461	0.077	
462	0.077	
463	0.077	
464	0.078	
465	0.077	
466	0.077	
467	0.077	
468	0.077	
469	0.077	
470	0.077	
471	0.077	
472	0.077	
473	0.077	
474	0.078	
475	0.078	
476	0.078	
477	0.078	
478	0.079	
479	0.079	
480	0.079	
481	0.079	
482	0.078	
483	0.078	
484	0.078	
485	0.078	
486	0.079	
487	0.079	
488	0.079	
489	0.079	
490	0.08	
491	0.08	
492	0.08	
493	0.081	
494	0.081	
495	0.081	
496	0.082	
497	0.083	
498	0.083	
499	0.084	
500	0.085	
501	0.086	
502	0.087	
503	0.088	
504	0.089	
505	0.091	
506	0.092	
507	0.094	
508	0.096	
509	0.099	
510	0.101	
511	0.104	
512	0.108	
513	0.111	
514	0.115	
515	0.119	
516	0.124	
517	0.129	
518	0.134	
519	0.139	
520	0.144	
521	0.15	
522	0.156	
523	0.161	
524	0.167	
525	0.172	
526	0.177	
527	0.181	
528	0.186	
529	0.19	
530	0.193	
531	0.197	
532	0.2	
533	0.202	
534	0.204	
535	0.206	
536	0.208	
537	0.209	
538	0.211	
539	0.212	
540	0.213	
541	0.214	
542	0.215	
543	0.216	
544	0.217	
545	0.218	
546	0.219	
547	0.22	
548	0.22	
549	0.221	
550	0.222	
551	0.222	
552	0.223	
553	0.223	
554	0.222	
555	0.222	
556	0.221	
557	0.22	
558	0.218	
559	0.216	
560	0.214	
561	0.211	
562	0.209	
563	0.206	
564	0.203	
565	0.199	
566	0.196	
567	0.192	
568	0.188	
569	0.185	
570	0.181	
571	0.177	
572	0.174	
573	0.17	
574	0.167	
575	0.164	
576	0.161	
577	0.158	
578	0.156	
579	0.154	
580	0.151	
581	0.149	
582	0.148	
583	0.146	
584	0.144	
585	0.143	
586	0.141	
587	0.14	
588	0.138	
589	0.137	
590	0.136	
591	0.135	
592	0.134	
593	0.133	
594	0.132	
595	0.132	
596	0.131	
597	0.13	
598	0.129	
599	0.129	
600	0.128	
601	0.127	
602	0.126	
603	0.125	
604	0.124	
605	0.123	
606	0.122	
607	0.121	
608	0.119	
609	0.118	
610	0.117	
611	0.116	
612	0.114	
613	0.113	
614	0.112	
615	0.111	
616	0.11	
617	0.109	
618	0.108	
619	0.107	
620	0.107	
621	0.106	
622	0.106	
623	0.105	
624	0.105	
625	0.105	
626	0.105	
627	0.105	
628	0.105	
629	0.105	
630	0.104	
631	0.104	
632	0.104	
633	0.104	
634	0.103	
635	0.102	
636	0.102	
637	0.101	
638	0.099	
639	0.098	
640	0.097	
641	0.096	
642	0.094	
643	0.093	
644	0.091	
645	0.09	
646	0.089	
647	0.088	
648	0.087	
649	0.086	
650	0.086	
651	0.085	
652	0.084	
653	0.084	
654	0.083	
655	0.083	
656	0.082	
657	0.082	
658	0.081	
659	0.081	
660	0.08	
661	0.08	
662	0.079	
663	0.079	
664	0.079	
665	0.078	
666	0.078	
667	0.079	
668	0.079	
669	0.079	
670	0.08	
671	0.081	
672	0.082	
673	0.083	
674	0.084	
675	0.085	
676	0.087	
677	0.088	
678	0.09	
679	0.092	
680	0.094	
681	0.096	
682	0.098	
683	0.1	
684	0.102	
685	0.104	
686	0.106	
687	0.109	
688	0.112	
