# Name	Leaf 2
# IsDefault	Default 2
Wavelength	Reflectance	
400	0.14	
401	0.14	
402	0.139	
403	0.139	
404	0.138	
405	0.136	
406	0.135	
407	0.135	
408	0.134	
409	0.134	
410	0.135	
411	0.135	
412	0.136	
413	0.136	
414	0.137	
415	0.138	
416	0.139	
417	0.14	
418	0.141	
419	0.142	
420	0.142	
421	0.143	
422	0.144	
423	0.145	
424	0.146	
425	0.146	
426	0.147	
427	0.148	
428	0.148	
429	0.149	
430	0.15	
431	0.15	
432	0.151	
433	0.152	
434	0.153	
435	0.154	
436	0.155	
437	0.155	
438	0.156	
439	0.157	
440	0.158	
441	0.159	
442	0.159	
443	0.16	
444	0.161	
445	0.162	
446	0.163	
447	0.163	
448	0.164	
449	0.165	
450	0.166	
451	0.167	
452	0.168	
453	0.169	
454	0.169	
455	0.17	
456	0.171	
457	0.172	
458	0.172	
459	0.173	
460	0.173	
461	0.174	
462	0.174	
463	0.175	
464	0.175	
465	0.175	
466	0.176	
467	0.176	
468	0.176	
469	0.176	
470	0.177	
471	0.177	
472	0.177	
473	0.177	
474	0.178	
475	0.178	
476	0.178	
477	0.179	
478	0.179	
479	0.179	
480	0.18	
481	0.18	
482	0.18	
483	0.181	
484	0.181	
485	0.181	
486	0.182	
487	0.183	
488	0.183	
489	0.184	
490	0.185	
491	0.186	
492	0.188	
493	0.189	
494	0.19	
495	0.192	
496	0.194	
497	0.196	
498	0.198	
499	0.201	
500	0.203	
501	0.206	
502	0.209	
503	0.213	
504	0.217	
505	0.221	
506	0.225	
507	0.23	
508	0.236	
509	0.242	
510	0.248	
511	0.254	
512	0.261	
513	0.268	
514	0.276	
515	0.284	
516	0.293	
517	0.301	
518	0.31	
519	0.319	
520	0.328	
521	0.338	
522	0.347	
523	0.355	
524	0.364	
525	0.373	
526	0.381	
527	0.389	
528	0.396	
529	0.403	
530	0.409	
531	0.416	
532	0.421	
533	0.426	
534	0.431	
535	0.435	
536	0.439	
537	0.442	
538	0.445	
539	0.448	
540	0.451	
541	0.453	
542	0.456	
543	0.458	
544	0.46	
545	0.462	
546	0.465	
547	0.467	
548	0.469	
549	0.471	
550	0.472	
551	0.473	
552	0.475	
553	0.475	
554	0.476	
555	0.476	
556	0.475	
557	0.474	
558	0.473	
559	0.471	
560	0.469	
561	0.467	
562	0.464	
563	0.461	
564	0.458	
565	0.455	
566	0.451	
567	0.447	
568	0.443	
569	0.439	
570	0.434	
571	0.43	
572	0.425	
573	0.42	
574	0.415	
575	0.411	
576	0.407	
577	0.403	
578	0.399	
579	0.395	
580	0.392	
581	0.389	
582	0.386	
583	0.383	
584	0.38	
585	0.377	
586	0.375	
587	0.373	
588	0.371	
589	0.369	
590	0.367	
591	0.365	
592	0.364	
593	0.362	
594	0.361	
595	0.36	
596	0.359	
597	0.358	
598	0.357	
599	0.356	
600	0.355	
601	0.353	
602	0.352	
603	0.35	
604	0.349	
605	0.347	
606	0.345	
607	0.342	
608	0.34	
609	0.337	
610	0.334	
611	0.332	
612	0.329	
613	0.326	
614	0.323	
615	0.32	
616	0.318	
617	0.315	
618	0.313	
619	0.311	
620	0.309	
621	0.307	
622	0.306	
623	0.304	
624	0.303	
625	0.303	
626	0.302	
627	0.301	
628	0.301	
629	0.3	
630	0.3	
631	0.3	
632	0.299	
633	0.298	
634	0.298	
635	0.296	
636	0.295	
637	0.293	
638	0.291	
639	0.288	
640	0.285	
641	0.282	
642	0.279	
643	0.276	
644	0.272	
645	0.269	
646	0.265	
647	0.262	
648	0.258	
649	0.255	
650	0.252	
651	0.249	
652	0.247	
653	0.245	
654	0.242	
655	0.24	
656	0.237	
657	0.235	
658	0.232	
659	0.228	
660	0.225	
661	0.222	
662	0.218	
663	0.215	
664	0.212	
665	0.209	
666	0.206	
667	0.204	
668	0.202	
669	0.2	
670	0.199	
671	0.198	
672	0.197	
673	0.197	
674	0.197	
675	0.197	
676	0.198	
677	0.198	
678	0.199	
679	0.201	
680	0.203	
681	0.205	
682	0.208	
683	0.211	
684	0.215	
685	0.221	
686	0.227	
687	0.234	
688	0.243	
689	0.254	
690	0.266	
691	0.28	
692	0.295	
693	0.313	
694	0.332	
695	0.352	
696	0.372	
697	0.395	
698	0.417	
699	0.44	
700	0.463	
701	0.486	
702	0.509	
703	0.531	
704	0.553	
705	0.573	
706	0.594	
707	0.614	
708	0.634	
709	0.652	
710	0.67	
711	0.688	
712	0.705	
713	0.721	
714	0.737	
715	0.753	
716	0.768	
717	0.782	
718	0.796	
719	0.809	
720	0.822	
721	0.834	
722	0.846	
723	0.857	
724	0.867	
725	0.877	
726	0.887	
727	0.896	
728	0.904	
