# Name	Leaf 3
# IsDefault	Default 3
Wavelength	Reflectance	
400	0.121
401	0.123
402	0.123	
403	0.121	
404	0.118	
405	0.115	
406	0.111	
407	0.108	
408	0.106	
409	0.105	
410	0.104	
411	0.104	
412	0.104	
413	0.104	
414	0.104	
415	0.105	
416	0.105	
417	0.106	
418	0.107	
419	0.108	
420	0.109	
421	0.11	
422	0.111	
423	0.112	
424	0.113	
425	0.114	
426	0.114	
427	0.114	
428	0.114	
429	0.114	
430	0.114	
431	0.114	
432	0.114	
433	0.115	
434	0.115	
435	0.116	
436	0.116	
437	0.117	
438	0.118	
439	0.119	
440	0.12	
441	0.121	
442	0.123	
443	0.124	
444	0.125	
445	0.127	
446	0.128	
447	0.129	
448	0.13	
449	0.131	
450	0.132	
451	0.133	
452	0.135	
453	0.136	
454	0.136	
455	0.137	
456	0.138	
457	0.138	
458	0.138	
459	0.139	
460	0.139	
461	0.14	
462	0.141	
463	0.141	
464	0.142	
465	0.143	
466	0.144	
467	0.145	
468	0.146	
469	0.147	
470	0.147	
471	0.148	
472	0.149	
473	0.15	
474	0.151	
475	0.152	
476	0.153	
477	0.154	
478	0.156	
479	0.157	
480	0.157	
481	0.157	
482	0.157	
483	0.158	
484	0.158	
485	0.159	
486	0.16	
487	0.161	
488	0.162	
489	0.163	
490	0.164	
491	0.165	
492	0.166	
493	0.167	
494	0.168	
495	0.169	
496	0.171	
497	0.172	
498	0.174	
499	0.176	
500	0.177	
501	0.179	
502	0.181	
503	0.183	
504	0.186	
505	0.188	
506	0.19	
507	0.193	
508	0.196	
509	0.199	
510	0.202	
511	0.206	
512	0.209	
513	0.213	
514	0.217	
515	0.221	
516	0.226	
517	0.23	
518	0.235	
519	0.239	
520	0.243	
521	0.248	
522	0.252	
523	0.255	
524	0.259	
525	0.262	
526	0.265	
527	0.268	
528	0.27	
529	0.272	
530	0.273	
531	0.274	
532	0.275	
533	0.276	
534	0.277	
535	0.277	
536	0.278	
537	0.279	
538	0.28	
539	0.281	
540	0.282	
541	0.284	
542	0.286	
543	0.287	
544	0.289	
545	0.291	
546	0.293	
547	0.295	
548	0.297	
549	0.299	
550	0.301	
551	0.302	
552	0.304	
553	0.305	
554	0.306	
555	0.307	
556	0.308	
557	0.308	
558	0.309	
559	0.309	
560	0.309	
561	0.308	
562	0.308	
563	0.308	
564	0.307	
565	0.306	
566	0.306	
567	0.305	
568	0.304	
569	0.303	
570	0.302	
571	0.301	
572	0.301	
573	0.3	
574	0.299	
575	0.298	
576	0.298	
577	0.297	
578	0.297	
579	0.296	
580	0.296	
581	0.295	
582	0.295	
583	0.294	
584	0.294	
585	0.293	
586	0.293	
587	0.292	
588	0.291	
589	0.291	
590	0.29	
591	0.289	
592	0.288	
593	0.287	
594	0.286	
595	0.285	
596	0.284	
597	0.283	
598	0.281	
599	0.28	
600	0.278	
601	0.277	
602	0.275	
603	0.273	
604	0.272	
605	0.27	
606	0.268	
607	0.267	
608	0.265	
609	0.264	
610	0.262	
611	0.261	
612	0.26	
613	0.259	
614	0.259	
615	0.258	
616	0.258	
617	0.257	
618	0.257	
619	0.257	
620	0.257	
621	0.257	
622	0.257	
623	0.258	
624	0.258	
625	0.259	
626	0.259	
627	0.26	
628	0.26	
629	0.261	
630	0.261	
631	0.261	
632	0.261	
633	0.261	
634	0.26	
635	0.259	
636	0.258	
637	0.257	
638	0.255	
639	0.253	
640	0.251	
641	0.248	
642	0.246	
643	0.243	
644	0.24	
645	0.237	
646	0.234	
647	0.231	
648	0.228	
649	0.225	
650	0.222	
651	0.219	
652	0.216	
653	0.213	
654	0.21	
655	0.207	
656	0.204	
657	0.2	
658	0.197	
659	0.194	
660	0.19	
661	0.187	
662	0.184	
663	0.181	
664	0.178	
665	0.176	
666	0.174	
667	0.172	
668	0.171	
669	0.17	
670	0.169	
671	0.169	
672	0.17	
673	0.171	
674	0.172	
675	0.173	
676	0.175	
677	0.178	
678	0.181	
679	0.184	
680	0.188	
681	0.192	
682	0.197	
683	0.202	
684	0.208	
685	0.215	
686	0.222	
687	0.23	
688	0.238	
689	0.247	
690	0.258	
691	0.268	
692	0.279	
693	0.291	
694	0.304	
695	0.317	
696	0.33	
697	0.344	
698	0.359	
699	0.373	
700	0.388	
701	0.402	
702	0.417	
703	0.432	
704	0.446	
705	0.461	
706	0.475	
707	0.489	
708	0.502	
709	0.515	
710	0.528	
711	0.541	
712	0.553	
713	0.565	
714	0.576	
715	0.587	
716	0.598	
717	0.608	
718	0.618	
719	0.627	
720	0.636	
721	0.645	
722	0.653	
723	0.661	
724	0.669	
725	0.677	
726	0.684	
727	0.691	
728	0.698	
729	0.704	
730	0.71	
731	0.717	
732	0.722	
733	0.728	
734	0.733	
735	0.739	
736	0.744	
737	0.748	
738	0.753	
739	0.757	
740	0.761	
741	0.765	
742	0.769	
743	0.773	
744	0.776	
745	0.779	
746	0.782	
747	0.785	
748	0.788	
749	0.79	
750	0.793	
751	0.795	
752	0.797	
753	0.8	
754	0.802	
755	0.804	
756	0.806	
757	0.808	
758	0.809	
759	0.811	
760	0.813	
761	0.815	
762	0.817	
763	0.819	
764	0.82	
765	0.822	
766	0.824	
767	0.826	
768	0.827	
769	0.829	
770	0.831	
771	0.832	
772	0.834	
773	0.836	
774	0.837	
775	0.839	
776	0.84	
777	0.841	
778	0.843	
779	0.844	
780	0.845	
781	0.847	
782	0.848	
783	0.849	
784	0.85	
785	0.851	
786	0.853	
787	0.854	
788	0.855	
789	0.856	
790	0.857	
791	0.858	
792	0.859	
793	0.86	
794	0.861	
795	0.862	
796	0.863	
797	0.864	
798	0.864	
799	0.865	
800	0.866	
801	0.867	
802	0.868	
803	0.869	
804	0.87	
805	0.871	
806	0.872	
807	0.873	
808	0.873	
809	0.874	
810	0.875	
811	0.876	
812	0.877	
813	0.878	
814	0.878	
815	0.879	
816	0.88	
817	0.881	
818	0.882	
819	0.882	
820	0.883	
821	0.884	
822	0.885	
823	0.886	
824	0.886	
825	0.887	
826	0.888	
827	0.889	
828	0.89	
829	0.89	
830	0.891	
831	0.892	
832	0.893	
833	0.894	
834	0.894	
835	0.895	
836	0.896	
837	0.897	
838	0.897	
839	0.898	
840	0.899	
841	0.9	
842	0.9	
843	0.901	
844	0.902	
845	0.902	
846	0.903	
847	0.904	
848	0.904	
849	0.905	
850	0.906	
851	0.906	
852	0.907	
853	0.908	
854	0.908	
855	0.909	
856	0.909	
857	0.91	
858	0.911	
859	0.911	
860	0.912	
861	0.912	
862	0.913	
863	0.913	
864	0.914	
865	0.915	
866	0.915	
867	0.916	
868	0.916	
869	0.917	
870	0.917	
871	0.918	
872	0.918	
873	0.919	
874	0.919	
875	0.92	
876	0.92	
877	0.921	
878	0.921	
879	0.922	
880	0.922	
881	0.922	
882	0.923	
883	0.923	
884	0.924	
885	0.924	
886	0.925	
887	0.925	
888	0.926	
889	0.926	
890	0.926	
891	0.927	
892	0.927	
893	0.928	
894	0.928	
895	0.928	
896	0.929	
897	0.929	
898	0.93	
899	0.93	
900	0.93	
901	0.931	
902	0.931	
903	0.931	
904	0.932	
905	0.932	
906	0.933	
907	0.933	
908	0.933	
909	0.934	
910	0.934	
911	0.935	
912	0.935	
913	0.935	
914	0.936	
915	0.936	
916	0.936	
917	0.937	
918	0.937	
919	0.938	
920	0.938	
921	0.938	
922	0.939	
923	0.939	
924	0.94	
925	0.94	
926	0.941	
927	0.941	
928	0.941	
929	0.942	
930	0.942	
931	0.943	
932	0.943	
933	0.944	
934	0.944	
935	0.945	
936	0.945	
937	0.946	
938	0.946	
939	0.947	
940	0.947	
941	0.948	
942	0.948	
943	0.949	
944	0.949	
945	0.95	
946	0.95	
947	0.951	
948	0.952	
949	0.952	
950	0.953	
951	0.953	
952	0.954	
953	0.954	
954	0.955	
955	0.955	
956	0.956	
957	0.956	
958	0.957	
959	0.957	
960	0.958	
961	0.958	
962	0.958	
963	0.958	
964	0.959	
965	0.959	
966	0.959	
967	0.959	
968	0.959	
969	0.959	
970	0.96	
971	0.96	
972	0.96	
973	0.96	
974	0.96	
975	0.96	
976	0.96	
977	0.96	
978	0.96	
979	0.96	
980	0.96	
981	0.96	
982	0.96	
983	0.96	
984	0.96	
985	0.96	
986	0.96	
987	0.96	
988	0.96	
989	0.96	
990	0.96	
991	0.961	
992	0.961	
993	0.961	
994	0.961	
995	0.961	
996	0.962	
997	0.962	
998	0.962	
999	0.962	
1000	0.962	
1001	0.962	
1002	0.962	
1003	0.963	
1004	0.963	
1005	0.963	
1006	0.963	
1007	0.963	
1008	0.964	
1009	0.964	
1010	0.964	
1011	0.964	
1012	0.964	
1013	0.964	
1014	0.965	
1015	0.965	
1016	0.965	
1017	0.965	
1018	0.965	
1019	0.966	
1020	0.966	
1021	0.966	
1022	0.966	
1023	0.966	
1024	0.967	
1025	0.967	
1026	0.967	
1027	0.967	
1028	0.967	
1029	0.967	
1030	0.968	
1031	0.968	
1032	0.968	
1033	0.968	
1034	0.968	
1035	0.968	
1036	0.969	
1037	0.969	
1038	0.969	
1039	0.969	
1040	0.969	
1041	0.969	
1042	0.97	
1043	0.97	
1044	0.97	
1045	0.97	
1046	0.97	
1047	0.971	
1048	0.971	
1049	0.971	
1050	0.971	
1051	0.971	
1052	0.971	
1053	0.972	
1054	0.972	
1055	0.972	
1056	0.972	
1057	0.972	
1058	0.972	
1059	0.973	
1060	0.973	
1061	0.973	
1062	0.973	
1063	0.973	
1064	0.974	
1065	0.974	
1066	0.974	
1067	0.974	
1068	0.974	
1069	0.975	
1070	0.975	
1071	0.975	
1072	0.975	
1073	0.975	
1074	0.976	
1075	0.976	
1076	0.976	
1077	0.976	
1078	0.976	
1079	0.977	
1080	0.977	
1081	0.977	
1082	0.977	
1083	0.977	
1084	0.978	
1085	0.978	
1086	0.978	
1087	0.978	
1088	0.978	
1089	0.979	
1090	0.979	
1091	0.979	
1092	0.979	
1093	0.979	
1094	0.98	
1095	0.98	
1096	0.98	
1097	0.98	
1098	0.98	
1099	0.98	
1100	0.981	
