Wavelength (nm)	Relative Power	Description
468	94.747	
469	95.129	
470	91.459	
471	93.0	
472	97.822	
473	94.019	
474	95.062	
475	98.18	
476	94.82	
477	95.384	
478	98.453	
479	96.548	
480	98.156	
481	98.132	
482	98.49	
483	97.288	
484	95.444	
485	95.135	
486	77.137	
487	86.388	
488	93.497	
489	88.074	
490	98.417	
491	94.601	
492	90.197	
493	96.47	
494	94.177	
495	100.0	
496	95.093	
497	96.718	
498	94.079	
499	94.067	
500	93.728	
501	90.858	
502	90.786	
503	94.953	
504	88.487	
505	94.844	
506	98.659	
507	94.389	
508	91.993	
509	96.409	
510	93.91	
511	95.657	
512	98.186	
513	92.241	
514	90.294	
515	92.897	
516	93.752	
517	76.397	
518	87.37	
519	84.665	
520	92.423	
521	93.091	
522	95.177	
523	89.712	
524	96.482	
525	95.729	
526	93.06	
527	81.389	
528	93.157	
529	97.489	
530	93.697	
531	98.829	
532	97.046	
533	86.661	
534	92.824	
535	94.237	
536	98.265	
537	90.925	
538	95.469	
539	93.127	
540	89.93	
541	86.448	
542	94.092	
543	92.545	
544	95.796	
545	93.631	
546	92.757	
547	93.964	
548	91.289	
549	94.146	
550	93.412	
551	93.309	
552	95.22	
553	92.508	
554	94.322	
555	94.838	
556	93.212	
557	90.919	
558	92.872	
559	87.856	
560	89.415	
561	94.601	
562	90.064	
563	93.467	
564	91.635	
565	92.211	
566	87.194	
567	92.933	
568	92.084	
569	89.821	
570	89.876	
571	86.934	
572	91.805	
573	92.193	
574	91.714	
575	89.639	
576	88.893	
577	91.131	
578	88.323	
579	89.597	
580	91.113	
581	91.532	
582	92.933	
583	93.897	
584	93.709	
585	92.957	
586	90.707	
587	92.696	
588	90.591	
589	78.217	
590	83.16	
591	88.941	
592	87.073	
593	88.329	
594	87.904	
595	86.794	
596	89.445	
597	89.706	
598	88.608	
599	88.602	
600	89.493	
601	88.438	
602	87.109	
603	88.954	
604	90.513	
605	90.355	
606	89.912	
607	90.452	
608	90.155	
609	89.469	
610	89.087	
611	88.632	
612	89.967	
613	88.693	
614	85.993	
615	89.154	
616	86.806	
617	85.702	
618	88.954	
619	89.372	
620	89.409	
621	89.791	
622	86.557	
623	85.927	
624	85.641	
625	85.083	
626	84.998	
627	87.455	
628	82.687	
629	85.617	
630	84.465	
631	85.902	
632	82.73	
633	88.007	
634	86.648	
635	87.704	
636	85.702	
637	88.626	
638	89.214	
639	88.844	
640	86.988	
641	87.037	
642	87.207	
643	88.11	
644	87.728	
645	88.365	
646	85.836	
647	85.447	
648	84.635	
649	82.008	
650	82.463	
651	87.637	
652	84.143	
653	86.812	
654	85.854	
655	81.887	
656	71.89	
657	75.177	
658	84.046	
659	84.349	
660	84.877	
661	84.519	
662	83.828	
663	83.979	
