Filter Number	Filter Name	Manufacturer	Hex Color	478	479	480	481	482	483	484	485	486	487	488	489	490	491	492	493	494	495	496	497	498
W3960	488NB3 Bandpass	Omega		0.037	0.056	0.088	0.137	0.285	0.653	1.677	5.494	22.13	65.439	73.359	39.112	9.761	2.718	1.069	0.453	0.234	0.158	0.103	0.067	0.036
