Filter Number	Filter Name	Manufacturer	Hex Color	475	476	477	478	479	480	481	482	483	484	485	486	487	488	489	490	491	492	493	494	495
W2885	483.5BP2 Bandpass	Omega		0.002	0.0	0.002	0.0	0.0	0.023	0.284	28.564	81.482	68.705	0.553	0.026	0.0	0.002	0.003	0.001	0.0	0.005	0.0	0.0	0.0
