Filter Number	Filter Name	Manufacturer	Hex Color	1080	1081	1082	1083	1084	1085	1086	1087	1088	1089	1090	1091	1092	1093	1094	1095	1096	1097	1098	1099	1100
W4478	1120BP20 Bandpass	Omega		0.014	0.016	0.02	0.023	0.027	0.033	0.039	0.048	0.059	0.074	0.092	0.117	0.149	0.193	0.255	0.345	0.472	0.656	0.932	1.381	2.073
