Wavelength	B	G	R	Manufacturer	Name
355	6.966	0.0	0.0	Generic 	CMOS sensor
360	9.588	1.296	1.235		
365	12.235	1.572	1.387		
370	14.749	1.849	1.627		
375	17.625	2.067	2.05		
380	21.076	2.282	2.508		
385	24.515	2.598	3.184		
390	27.995	3.026	3.86		
395	31.468	3.455	4.327		
400	35.121	3.679	4.577		
405	39.197	3.627	4.805		
410	42.993	3.566	4.625		
415	47.047	3.362	4.446		
420	50.166	3.177	4.176		
425	52.701	3.061	3.836		
430	54.498	2.946	3.454		
435	55.627	3.045	3.029		
440	56.752	3.175	2.603		
445	56.954	4.031	2.177		
450	57.156	5.703	1.924		
455	56.814	7.648	1.682		
460	56.143	11.065	1.511		
465	55.472	15.99	1.411		
470	53.846	20.522	1.329		
475	51.996	25.357	1.395		
480	49.544	31.234	1.461		
485	46.33	37.175	1.635		
490	42.159	41.022	1.863		
495	38.797	50.749	2.111		
500	34.731	54.813	2.541		
505	30.87	57.581	2.971		
510	26.326	59.059	3.489		
515	21.877	60.537	4.058		
520	18.131	61.619	4.435		
525	14.936	62.595	4.197		
530	12.727	63.469	3.959		
535	11.108	64.017	3.249		
540	9.666	64.565	2.419		
545	8.483	65.114	2.218		
550	7.405	64.549	3.146		
555	6.328	63.828	5.865		
560	5.208	62.715	10.06		
565	4.072	61.153	15.115		
570	3.165	59.246	20.367		
575	2.516	56.557	25.165		
580	1.866	52.893	29.876		
585	1.423	48.921	34.761		
590	1.027	44.353	39.399		
595	0.998	39.514	43.262		
600	1.065	34.931	45.306		
605	1.131	30.495	46.878		
610	1.197	25.736	46.838		
615	1.355	21.675	46.798		
620	1.623	17.468	46.479		
625	1.891	14.979	45.958		
630	2.166	13.095	45.405		
635	2.442	11.547	44.671		
640	2.717	10.553	43.938		
645	2.987	9.704	42.908		
650	3.256	8.923	41.812		
655	3.454	8.373	40.593		
660	3.546	7.824	39.188		
665	3.638	7.63	37.78		
670	3.761	7.78	36.363		
675	3.888	7.929	34.947		
680	4.016	8.285	33.851		
685	4.143	9.198	32.755		
690	4.162	10.137	31.772		
695	4.029	11.226	30.868		
700	3.893	12.316	29.994		
705	3.673	13.106	29.275		
710	3.453	13.75	28.555		
715	3.088	14.394	27.998		
720	2.694	14.656	27.466		
725	2.309	14.711	26.972		
730	2.084	14.713	26.554		
735	1.86	14.539	26.135		
740	1.723	14.364	25.737		
745	1.667	14.309	25.34		
750	1.612	14.314	24.892		
755	1.591	14.319	24.382		
760	1.591	14.324	23.862		
765	1.722	14.479	23.226		
770	2.379	14.65	22.589		
775	3.036	14.821	21.823		
780	4.68	14.806	20.99		
785	6.472	14.792	20.13		
790	8.814	14.777	19.191		
795	10.713	14.763	18.252		
800	12.242	14.824	17.542		
805	13.053	15.005	16.88		
810	13.792	15.186	16.298		
815	14.288	15.18	15.831		
820	14.338	14.913	15.369		
825	14.388	14.646	14.909		
830	14.438	14.379	14.448		
835	14.448	14.083	13.931		
840	13.813	13.533	13.396		
845	13.177	12.983	12.864		
850	12.542	12.433	12.361		
855	12.098	11.951	11.857		
860	11.765	11.492	11.322		
865	11.32	11.038	10.675		
870	10.876	10.668	10.028		
875	10.354	10.297	9.382		
880	9.792	9.899	8.92		
885	9.229	9.446	8.459		
890	8.667	8.994	7.998		
895	8.171	8.554	7.579		
900	7.744	8.136	7.203		
905	7.316	7.717	6.827		
910	6.889	7.299	6.451		
915	6.465	6.901	6.078		
920	6.111	6.584	5.729		
925	5.756	6.267	5.38		
930	5.413	5.944	5.03		
935	5.074	5.597	4.681		
940	4.735	5.25	4.35		
945	4.405	4.929	4.044		
950	4.103	4.632	3.739		
955	3.8	4.334	3.433		
960	3.498	4.023	3.127		
965	3.1	3.708	2.882		
970	2.693	3.393	2.664		
975	2.451	3.197	2.446		
980	2.258	3.026	2.228		
985	2.066	2.873	2.009		
990	1.943	2.741	1.864		
995	1.839	2.609	1.72		
1000		0.0			
1005		0.0			
1010		0.0			
1015		0.0			
1020		0.0			
1025		0.0			
1030		0.0			
1035		0.0			
1040		0.0			
1045		0.0			
1050		0.0			
1055		0.0			
1060		0.0			
1065		0.0			
1070		0.0			
1075		0.0			
1080		0.0			
1085		0.0			
1090		0.0			
1095		0.0			
1100		0.0			
